, Ordered,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
, Decimal,1,2,4,9,18,20,65,66,68,73,82,84,97,105,137,201,233
1 - Dubcek, Revert, Y, N, N, Y, N, N, Y, N, N, Y, N, N, Y, Y, Y, Y, Y
, Maintain, N, Y, N, N, Y, N, N, Y, N, N, Y, N, N, N, N, N, N
, Democratize, N, N, Y, N, N, Y, N, N, Y, N, N, Y, N, N, N, N, N
2 - Brezhnev, Invade, N, N, N, Y, N, N, N, N, N, Y, N, N, N, Y, Y, Y, Y
, Acknowledge, N, N, N, N, Y, Y, N, N, N, N, Y, Y, N, N, N, N, N
3 - Czechs, Rebel , N, N, N, N, N, N, N, N, N, N, N, N, Y, Y, N, N, Y
, Criticize, N, N, N, N, N, N, Y, Y, Y, Y, Y, Y, Y, Y, N, Y, Y
4 - US, Block, N, N, N, N, N, N, N, N, N, N, N, N, N, N, Y, Y, Y
,,,,,,,,,,,,,,,,,,
Preferences,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1 - Dubcek,,18,2,82,66,20,4,84,68,1,65,97,9,73,105,137,201,233
2 - Brezhnev,,1,65,97,9,73,105,137,201,233,2,18,66,4,18,82,20,84
3 - Czechs,,,,,,,,,,,,,,,,,,
4 - US,,[4,68,84,20],[2,18,66,82],[1,65,97],[9,73,105],[137,201,233]
